time,ACCx,ACCy,ACCz,ACCnorm,,
0.506854,0.162992,-0.221796,-0.350628,0.445757616,413,
0.512415,0.146644,-0.21838,-0.333792,0.424983984,414,
0.517913,0.129076,-0.209596,-0.320616,0.404209991,415,
0.52352,0.118828,-0.199592,-0.25132,0.342226245,416,
0.529064,0.114436,-0.19642,-0.292556,0.370493492,417,
0.534561,0.09028,-0.182512,-0.282796,0.3484748,418,
0.540103,0.077348,-0.159576,-0.273036,0.32557007,419,
0.545605,0.058072,-0.139324,-0.268156,0.307719311,420,
0.551096,0.054412,-0.107116,-0.268644,0.294285749,421,
0.556572,0.043676,-0.083204,-0.264984,0.281153017,422,
0.562131,0.033672,-0.054656,-0.253272,0.261281052,423,
0.567623,0.030744,-0.03904,-0.231312,0.236589426,424,
0.57314,0.025376,-0.024888,-0.218868,0.221735327,425,
0.578569,0.030744,-0.020252,-0.193492,0.196963172,426,
0.584273,0.03172,-0.02074,-0.178364,0.182345887,427,
0.589774,0.024644,-0.019032,-0.155672,0.158755521,428,
0.595252,0.021472,-0.01342,-0.14152,0.143767359,429,
0.600736,0.013908,-0.004392,-0.126148,0.126988346,430,
0.606249,0.011468,-0.000488,-0.118096,0.118652511,431,
0.611734,0.006832,-0.000732,-0.104188,0.104414326,432,
0.617233,0.002928,-0.004636,-0.098576,0.098728382,433,
0.622805,0.002196,-0.010492,-0.096624,0.097216778,434,
0.628304,-0.004148,-0.005612,-0.100528,0.100769932,435,
0.633905,-0.0061,0.003172,-0.099796,0.100032561,436,
0.639407,-0.013908,0.007808,-0.11224,0.11336761,437,
0.644901,-0.013908,0.002684,-0.122,0.122819527,438,
0.65052,-0.017812,0.000488,-0.136152,0.137313046,439,
0.655934,-0.022204,0.002684,-0.149084,0.150752315,440,
0.661405,-0.0183,0.006832,-0.159576,0.160767117,441,
0.666892,-0.018544,0.01952,-0.159576,0.161831425,442,
0.672456,-0.018056,0.030744,-0.159332,0.163272468,443,
0.677954,-0.013664,0.050264,-0.158112,0.166470956,444,
0.68355,0,0.0549,-0.148352,0.158184468,445,
0.689077,0.011468,0.05612,-0.138104,0.149511485,446,
0.694565,0.03172,0.051972,-0.115656,0.130704084,447,
0.700073,0.05368,0.035868,-0.104676,0.12298423,448,
0.705562,0.07076,0.015372,-0.094428,0.118995475,449,
0.711079,0.097356,0.002684,-0.089792,0.132468856,450,
0.716565,0.116144,-0.010004,-0.089792,0.147146566,451,
